section,element,key,ja_text,ja_lead,en_text,note
hero,title_main,hero_title_jp,東京校 ホームカミングデー2025,,Homecoming Day 2025,日本語が主、英字はサブでグレー表示
hero,tagline,hero_tagline,選択肢、増える。言葉、整う。足が、前に出る。そんな日。,,Gather. Connect. Move forward.,キャッチコピー
hero,meta,hero_meta,東京校 ／ オンライン ハイブリッド開催　12/14 13:00 start,,Tokyo Campus,日付・場所
hero,cta_primary,btn_register,Peatixで申込,,Register on Peatix,https://hcd-tokyo-2025.peatix.com/view
hero,cta_secondary,btn_calendar,カレンダーに追加(.ics),,Add to Calendar,カレンダーに追加(.ics)
hero,notice,hero_notice,＜重要なお知らせ＞オンライン参加 無料化について,,,HEROタグライン下のバッジ用
about,section_title,about_title,Homecoming Dayとは,,About,セクション見出し
about,lead,about_lead,幅広い期のグロービス卒業生がゆるやかに再会し、学びと会話が交わる1日。『選択肢が増え、言葉が整い、足が前に出る。』——そんな機会をつくります。,,,
about,tip,about_tip_1,卒業生みんなが主役,久しぶりの再会、新しい出会い。仲間やお世話になった講師と語らい、ここからまた新しいステージへ。,,
about,tip,about_tip_2,交流を楽しむ,旧知の仲間と語り合い、新しい仲間と出会う時間。心がはずみ、つながりがまた新たな一歩へ。,,
about,tip,about_tip_3,気軽に参加ができる,オンライン参加や途中の出入りも自由。予定に合わせて無理なく楽しめる。誰にでも開かれた交流の場。,,
notice,section_title,notice_title,＜重要なお知らせ＞<br>オンライン参加 無料化について,,,
notice,lead,notice_lead,多くの方にご参加いただきたい。その想いからオンライン参加を無料に変更いたします。,,,
notice,body,notice_body,"多数の方から参加申込をいただき、誠にありがとうございます。<br>これまで参加費について一律1,000円としておりました。<br>多くの卒業生が気軽に参加ができるホームカミングデーを実現するために<br>オンラインでの参加を無料とさせていただくことといたしました。<br>すでにオンライン参加でお申込の方は返金手続きをさせていただきます。<br>その他のよくある質問をまとめておりますので併せてご覧ください。<br><br>",,,
notice,change_title,notice_change_title,参加費に関する変更内容について,,,小見出し
notice,change_before,notice_change_before,"【変更前】
東京校でのご参加の方：1,000円
オンラインでのご参加の方：1,000円",,,箇条書き
notice,change_after,notice_change_after,"【変更後】
東京校でのご参加の方：1,000円
オンラインでのご参加の方：無料",,,箇条書き
notice,faq_cat,notice_faq_cat_online_title,〜 オンラインでご参加の方向け 〜,,,
notice,faq_cat,notice_faq_cat_real_title,〜 東京校でご参加の方向け 〜,,,
notice,q,notice_faq_online_q1,既に参加申込済みですが、返金はありますか？,,,
notice,a,notice_faq_online_a1,はい、返金手続きをさせていただきます。事務局から順次ご案内させていただいております。,,,
notice,q,notice_faq_online_q2,オンラインでの申込を東京校参加で振替することは可能ですか？,,,
notice,a,notice_faq_online_a2,申し訳ございませんが、申込し直す必要がございます。Peatixのマイチケットから、主催者へご連絡をお願いします。主催者側でキャンセル対応の後、再度お申し込みください。,,,
notice,q,notice_faq_online_q3,参加申込済みをキャンセルできますか？,,,
notice,a,notice_faq_online_a3,Peatixのマイチケットから、主催者へご連絡をお願いします。主催者側でキャンセル対応をいたします。,,,
notice,q,notice_faq_online_q4,用事があるのでオンラインで参加したいけど、大丈夫ですか？,,,
notice,a,notice_faq_online_a4,ご参加いただくことは可能ですが、セッションによっては東京校限定やグループワークありのセッションがございます。グループワークありのセッションについては、ご発言できる環境でご参加をお願いしております。,,,
notice,q,notice_faq_online_q5,,,,
notice,a,notice_faq_online_a5,,,,
notice,q,notice_faq_real_q1,東京校での参加からオンライン参加に変更できますか？,,,
notice,a,notice_faq_real_a1,変更は可能です。Peatixのマイチケットから主催者へチケットキャンセルのご連絡をお願い致します。その後、オンラインチケットを再度ご購入お願いいたします。なお、12/7まではキャンセル料がかかりません。それ以降は発生しますので予めご了承ください。,,,
notice,q,notice_faq_real_q2,急用が発生したのでキャンセルできますか？,,,
notice,a,notice_faq_real_a2,Peatixのマイチケットから、主催者へご連絡をお願いします。主催者側でキャンセル対応をいたします。なお、12/7まではキャンセル料がかかりません。それ以降は発生しますので予めご了承ください。,,,
notice,q,notice_faq_real_q3,抽選の結果、希望のセッションに参加できないので、キャンセルできますか？,,,
notice,a,notice_faq_real_a3,キャンセルは可能です。なお、12/7まではキャンセル料がかかりません。Peatixのマイチケットから、主催者へご連絡をお願いします。主催者側でキャンセル対応をいたします。,,,
notice,q,notice_faq_real_q4,,,,
notice,a,notice_faq_real_a4,,,,
notice,q,notice_faq_real_q5,,,,
notice,a,notice_faq_real_a5,,,,
speakers,section_title,speakers_title,登壇者,,Speakers,セクション見出し
