order,is_keynote,session_id,name_jp,name_en,affiliation,title1,title2,title3,title4,title5,bio_ja,session_title,track,timetable1,timetable2,photo_file,note
1,yes,S-KN-02,與良だいち,Daichi Yora,連続起業家・作家,株式会社チャクラグラス 代表取締役,合同会社だいち 代表,エール株式会社 創業者,日本寄付財団 評議員,,伊藤忠商事、アクセンチュア戦略グループ、IT企業役員、組織風土改革コンサルタントを経て、2013年独立。一般社団法人ハタモク、エール株式会社、株式会社チャクラグラスを創業、與良眼鏡店、飲食店「あかねの極上TKG」を開業。株式会社ハコニワ‧ファームを共同創業。著書：「1人起業家マインドセット」「自己変態理論」「決める技術」「他人の思考の９割は変えらえる」,孤独なき『個の時代』の生存戦略　～自己変態理論とは～,1F ホール,13:15,14:15,spk_Yora_Daichi.jpg,
2,yes,"S-KN-02,S-1B",田久保善彦,Yoshihiko Takubo,グロービス経営大学院特任副学長,,,,,,慶應義塾大学理工学部卒業、学士(工学)、修士(工学)、博士(学術)。スイスIMD PEDコース修了。株式会社三菱総合研究所を経て、現在グロービス経営大学院特任副学長。複数の上場企業、ベンチャー企業社外取締役、顧問等も務める。元経済同友会幹事。,"孤独なき『個の時代』の生存戦略　～自己変態理論とは～,GRAが15年で築いた『社会課題解決型』ローカルスタートアップの軌跡",1F ホール,13:15,14:15,spk_Yoshihiko_Takuboi.jpg,
3,no,S-1A,伊藤浩孝,Hirotaka Ito,テカンジャパン株式会社 代表取締役社長 兼 アジアパシフィック代表,グロービス経営大学院 専任教授,2007期生,,,,スイスを本社とするラボラトリーオートメーションを扱う理化学機器会社のAPAC代表。製薬・医療機器などヘルスケア業界が専門。グロービスでは講師を10年ほど行っており、マーケティング・経営戦略基礎、マーケティング、ストラテジック・リオーガニゼーションを担当。,マーケティングが導く企業変革 〜成長と革新のための戦略〜,202教室,15:00,16:00,spk_Ito_Hirotaka.jpg,
4,no,S-1B,岩佐大輝,Hiroki Iwasa,株式会社GRA 代表取締役 CEO,武蔵野大学 EMC教授,2010期生,,,,"IT起業家。2011年の東日本大震災を機に故郷・宮城県山元町でGRA設立。IT×マーケで栽培から直販までをデータ駆動で最適化し、アグリテックを日本に普及。1粒1,000円の「ミガキイチゴ」といちご専門店「いちびこ」をブランド化し、国内外に販路を開拓。2023年、農業スタートアップ初のM&A EXITを実現。著書多数。",GRAが15年で築いた『社会課題解決型』ローカルスタートアップの軌跡,203教室,15:00,16:00,spk_Iwasa_Hiroki.jpg,
6,no,S-1C,山本龍太,Ryuta Yamamoto,株式会社トリプルバリュー Chief Exciting Officer,ゲツガン Founder,2016期生,,,,ミッションは「もっとワクワーク」。グロービス卒業と同時に起業し、累計2万個超のエンゲージメントカードで価値観の対話を広げる一方、規格外食材を救うフードロス削減『Re.BooooN！（リブーン）』を推進中。『人的ネットワークの教科書』にも取り上げられるなど、活動領域を広げている。,組織におけるチームビルディングが一気に進む！「エンゲージメントカード」実践セッション,205教室,15:00,16:00,spk_Yamamoto_Ryuta.jpg,
7,no,S-1D,青山ひろみ,Hiromi Aoyama,楽読(速読)一宮駅前スクール 代表,合同会社タイムハック 代表社員,2017期生,,,,速読と時間術の専門家・YouTuber。チャンネル『テキパキ姉さんズボラ時間術』は登録1.5万。リクルート営業8年、グロービス在学中に起業。グロービス生300名超の速読習得に伴走し実践知を体系化。著書『子育て優先で週休3日年収1000万の仕事術』。,"【速読×時間術で週3日で1,000万達成！！】「時間と場所に縛られない」パラレルキャリアの創り方",206教室,15:00,16:00,spk_Aoyama_Hiromi.jpg,
8,no,S-2A,木内文昭,Fumiaki Kiuchi,株式会社マクアケ 代表取締役,2009期生,,,,,経営×新規事業の実務家。グロービス卒業後に社内起業し、IPOを牽引。上場後は時価総額4桁超を経験、一昨年まで3期連続赤字に直面。昨年代表就任で黒字化・企業価値2倍を実現し、時価総額3桁億を定常化。大企業50社超で事業化支援。,夢を仕組みに変える！〜マクアケ代表 木内氏が語る ゼロからIPO そしてその先への挑戦の軌跡〜,202教室,16:20,17:20,spk_Kiuchi_Fumiaki.jpg,
9,no,S-2B,井上陽介,Yosuke Inoue,グロービス マネジングディレクター,,,,,,グロービス入社後、名古屋オフィスを立ち上げ、法人・デジタル両部門を創設・拡大。現マネジング・ディレクターとして全社ブランディングと組織横断施策を推進。コングラント社外取締役、アニポス・BizteXアドバイザー。講師はベンチャー戦略、創造ファカルティグループ責任者で科目開発も担当。,【挑戦の熱量を成果に変える】「新規事業立ち上げ」実践論：壁を乗り越え事業創造を駆動するイントレプレナーの実行力と志,203教室,16:20,17:20,spk_Inoue_Yosuke.jpg,
10,no,S-2C,加藤茜愛,Akane Kato,株式会社ゆうちょ銀行 社外取締役 監査委員,株式会社SUMCO 社外取締役,2021期生,,,,短大卒業後航空会社に入社、約30年間接遇・人材育成・品質管理を担う。2014年に人と組織活性化コンサルティングを開始。現在医療法人、上場企業の経営監督にも参画。相互尊重を基盤とした経営の実現に尽力している。,応援される人になるための印象管理 ～より良いリレーショナルパワーの築き方～,205教室,16:20,17:20,spk_Kato_Akane.jpg,
11,no,S-2D,木村恵,Megumi Kimura,一般社団法人Femtech Community Japan 理事,2012期生,,,,,女性ヘルスケア×イノベーションの専門家。起業・新規事業支援100件超、寄稿120本以上。講演・ファシリテーター60本超。政策・産業・現場をつなぎ、「始動」説明会を4年継続しグロービス生60名超を輩出。東京・愛知の二拠点で実装と発信を両立。実務と研究の往還で成果を創出。,『デキる』リーダーが知るべき、『気遣い』と『ハラスメント』の境界線,206教室,16:20,17:20,spk_Kimura_Megumi.jpg,
