id,name,title,org,bio,photo_url
1,與良だいち,株式会社チャクラグラス 代表取締役,連続起業家・作家,伊藤忠商事、アクセンチュア戦略グループ、IT企業役員、組織風土改革コンサルタントを経て、2013年独立。一般社団法人ハタモク、エール株式会社、株式会社チャクラグラスを創業、與良眼鏡店、飲食店「あかねの極上TKG」を開業。株式会社ハコニワ‧ファームを共同創業。著書：「1人起業家マインドセット」「自己変態理論」「決める技術」「他人の思考の９割は変えらえる」,./assets/spk_Yora_Daichi.jpg
2,田久保 善彦,グロービス経営大学院特任副学長,グロービス経営大学院特任副学長,慶應義塾大学理工学部卒業、学士(工学)、修士(工学)、博士(学術)。スイスIMD PEDコース修了。株式会社三菱総合研究所を経て、現在グロービス経営大学院特任副学長。複数の上場企業、ベンチャー企業社外取締役、顧問等も務める。元経済同友会幹事。,./assets/spk_Yoshihiko_Takuboi.jpg
3,伊藤浩孝,グロービス経営大学院 専任教授,テカンジャパン株式会社 代表取締役社長 兼 アジアパシフィック代表,スイスを本社とするラボラトリーオートメーションを扱う理化学機器会社のAPAC代表。製薬・医療機器などヘルスケア業界が専門。グロービスでは講師を10年ほど行っており、マーケティング・経営戦略基礎、マーケティング、ストラテジック・リオーガニゼーションを担当。,./assets/spk_Ito_Hirotaka.jpg
4,岩佐大輝,武蔵野大学 EMC教授,株式会社GRA 代表取締役 CEO,"IT起業家。2011年の東日本大震災を機に故郷・宮城県山元町でGRA設立。IT×マーケで栽培から直販までをデータ駆動で最適化し、アグリテックを日本に普及。1粒1,000円の「ミガキイチゴ」といちご専門店「いちびこ」をブランド化し、国内外に販路を開拓。2023年、農業スタートアップ初のM&A EXITを実現。著書多数。",./assets/spk_Iwasa_Hiroki.jpg
5,田久保 善彦,グロービス経営大学院特任副学長,グロービス経営大学院特任副学長,慶應義塾大学理工学部卒業、学士(工学)、修士(工学)、博士(学術)。スイスIMD PEDコース修了。株式会社三菱総合研究所を経て、現在グロービス経営大学院特任副学長。複数の上場企業、ベンチャー企業社外取締役、顧問等も務める。元経済同友会幹事。,./assets/spk_Yoshihiko_Takuboi.jpg
6,山本龍太,ゲツガン Founder,株式会社トリプルバリュー Chief Exciting Officer,ミッションは「もっとワクワーク」。グロービス卒業と同時に起業し、累計2万個超のエンゲージメントカードで価値観の対話を広げる一方、規格外食材を救うフードロス削減『Re.BooooN！（リブーン）』を推進中。『人的ネットワークの教科書』にも取り上げられるなど、活動領域を広げている。,./assets/spk_Yamamoto_Ryuta.jpg
7,青山ひろみ,合同会社タイムハック 代表社員,楽読(速読)一宮駅前スクール 代表,速読と時間術の専門家・YouTuber。チャンネル『テキパキ姉さんズボラ時間術』は登録1.5万。リクルート営業8年、グロービス在学中に起業。グロービス生300名超の速読習得に伴走し実践知を体系化。著書『子育て優先で週休3日年収1000万の仕事術』。,./assets/spk_Aoyama_Hiromi.jpg
8,木内文昭,2009期生,株式会社マクアケ 代表取締役,経営×新規事業の実務家。グロービス卒業後に社内起業し、IPOを牽引。上場後は時価総額4桁超を経験、一昨年まで3期連続赤字に直面。昨年代表就任で黒字化・企業価値2倍を実現し、時価総額3桁億を定常化。大企業50社超で事業化支援。,./assets/spk_Kiuchi_Fumiaki.jpg
9,井上陽介,グロービス マネジングディレクター,グロービス マネジングディレクター,グロービス入社後、名古屋オフィスを立ち上げ、法人・デジタル両部門を創設・拡大。現マネジング・ディレクターとして全社ブランディングと組織横断施策を推進。コングラント社外取締役、アニポス・BizteXアドバイザー。講師はベンチャー戦略、創造ファカルティグループ責任者で科目開発も担当。,./assets/spk_Inoue_Yosuke.jpg
10,加藤茜愛,株式会社SUMCO 社外取締役,株式会社ゆうちょ銀行 社外取締役 監査委員,短大卒業後航空会社に入社、約30年間接遇・人材育成・品質管理を担う。2014年に人と組織活性化コンサルティングを開始。現在医療法人、上場企業の経営監督にも参画。相互尊重を基盤とした経営の実現に尽力している。,./assets/spk_Kato_Akane.jpg
11,木村恵,2012期生,一般社団法人Femtech Community Japan 理事,女性ヘルスケア×イノベーションの専門家。起業・新規事業支援100件超、寄稿120本以上。講演・ファシリテーター60本超。政策・産業・現場をつなぎ、「始動」説明会を4年継続しグロービス生60名超を輩出。東京・愛知の二拠点で実装と発信を両立。実務と研究の往還で成果を創出。,./assets/spk_Kimura_Megumi.jpg
